ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),City,County,State,Zipcode,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,DF_Matching
A-49363,2,2016-10-26 10:57:55,2016-10-26 16:57:55,34.213602,-83.530812,0.122,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-52906,2,2016-11-09 07:05:29,2016-11-09 13:05:29,34.22731,-83.5054,5.537999999999999,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-60786,2,2016-09-23 05:11:28,2016-09-23 11:11:28,34.205998,-83.552335,0.002,Maysville,Banks,GA,30558-4018,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-205432,4,2017-06-19 04:37:48,2017-06-19 10:37:48,34.22765,-83.50392,2.768,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-206490,2,2017-06-22 06:19:18,2017-06-22 12:19:18,34.22765,-83.50392,0.309,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-209474,2,2017-07-05 13:21:18,2017-07-05 19:21:18,34.219456,-83.520989,0.789,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-252052,2,2021-08-10 13:36:11,2021-08-10 15:07:07,34.208183,-83.546053,4.186,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-255007,2,2021-12-19 11:17:00,2021-12-19 13:00:00,34.219518,-83.520894,1.378,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-261502,4,2021-08-22 18:11:00.000000,2021-08-22 19:26:00.000000,34.219518,-83.520894,0.627,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-379597,2,2021-12-04 13:21:00,2021-12-04 16:48:58,34.208183,-83.546053,1.5019999999999998,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-387729,2,2021-08-22 18:11:00,2021-08-22 21:45:00,34.219518,-83.520894,0.991,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-551494,2,2021-10-29 13:18:00,2021-10-29 17:45:00,34.227508,-83.504923,6.097,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-638200,2,2021-08-22 18:11:00,2021-08-22 19:26:00,34.219518,-83.520894,0.627,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-720611,2,2021-12-21 20:28:00,2021-12-21 22:45:00,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-763534,2,2021-12-21 15:14:52,2021-12-21 15:44:26,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-763535,2,2021-12-06 08:23:00,2021-12-06 10:13:00,34.216986,-83.52610200000002,2.312,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-764154,2,2021-12-21 14:59:00,2021-12-21 17:15:00,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-784502,2,2021-12-21 20:28:00,2021-12-21 21:52:00,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-847408,2,2021-12-06 08:26:00,2021-12-06 10:45:00,34.208443,-83.546074,0.401,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-947411,2,2021-12-21 20:28:00,2021-12-22 00:13:30,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-994091,2,2021-12-04 15:45:10,2021-12-04 16:26:35,34.201617,-83.562242,2.531,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1048455,2,2021-12-29 17:29:53,2021-12-29 19:58:26,34.201901,-83.562225,5.894,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1081488,2,2021-12-04 15:23:25,2021-12-04 15:37:28,34.202743,-83.559608,0.861,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1089746,4,2021-12-21 20:28:00,2021-12-21 21:52:00,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-1124529,2,2021-12-04 13:21:00,2021-12-04 15:45:00,34.202743,-83.559608,0.861,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1155538,2,2021-10-29 13:27:14,2021-10-29 16:34:22,34.216986,-83.52610200000002,3.059,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1440269,2,2021-12-21 14:59:00,2021-12-21 16:18:00,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1440270,2,2021-12-06 08:26:00,2021-12-06 09:45:00,34.208443,-83.546074,1.028,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1486820,2,2021-12-04 13:21:00,2021-12-04 15:45:00,34.202743,-83.559608,0.861,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1566382,2,2021-01-01 15:06:00,2021-01-01 17:45:00,34.227658,-83.503957,0.309,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1566526,2,2021-01-01 14:53:00,2021-01-01 16:04:00,34.227652,-83.503979,1.75,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1675535,2,2021-01-01 15:06:00,2021-01-01 17:45:00,34.227652,-83.503979,2.616,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1750655,2,2020-11-28 15:02:30,2020-11-28 15:27:30,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1755480,2,2020-10-11 14:14:00.000000000,2020-10-11 21:45:00.000000000,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1779731,2,2020-12-09 01:30:00,2020-12-09 02:45:00,34.22429,-83.51195,0.162,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-1795246,2,2020-10-11 14:14:00,2020-10-11 20:45:00,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-1856846,2,2020-12-17 21:51:36,2020-12-18 01:23:43,34.22229,-83.515984,7.942,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-1908950,2,2020-12-31 05:18:00,2020-12-31 06:33:00,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-1932351,2,2020-12-31 05:01:30,2020-12-31 06:36:30,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-2043884,2,2020-10-11 14:14:00,2020-10-11 21:45:00,34.227508,-83.504923,5.527,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-2573481,2,2018-11-09 15:11:59,2018-11-09 15:41:10,34.22765,-83.50392,0.297,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-2599828,2,2018-10-27 19:50:12,2018-10-27 20:19:58,34.22761,-83.50475899999998,3.0780000000000003,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-2736015,3,2017-10-02 00:36:57,2017-10-02 06:36:57,34.22731,-83.5054,6.117000000000001,Commerce,Jackson,GA,30529,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.2_-83.5
A-2739469,2,2017-10-10 16:37:10,2017-10-10 22:37:10,34.211092,-83.536889,0.4679999999999999,Maysville,Jackson,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-2753845,4,2017-09-19 15:19:42,2017-09-19 21:19:42,34.255146999999994,-83.563558,0.004,Maysville,Banks,GA,30558-1710,US/Eastern,K19A,,,,,,,,,,,False,False,True,False,False,False,True,False,False,False,False,False,False,Day,34.2_-83.5
A-2768583,4,2017-08-23 09:14:15,2017-08-23 15:14:15,34.274294,-83.594316,1.378,Maysville,Banks,GA,30558,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-2770505,4,2017-08-28 18:21:10,2017-08-29 00:21:10,34.25678,-83.5596,0.0,Maysville,Banks,GA,30558-1741,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
A-2770506,4,2017-08-28 18:21:10,2017-08-29 00:21:10,34.25678,-83.5596,0.0,Maysville,Banks,GA,30558-1741,US/Eastern,K19A,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.2_-83.5
