ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),City,County,State,Zipcode,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,lat_id,lng_id
A-2384924,2,2019-12-10 06:53:17,2019-12-10 07:23:08,48.00039,-122.17415,0.103,Everett,Snohomish,WA,98201,US/Pacific,KPAE,2019-12-10 06:53:00,39.0,32.0,96.0,29.5,0.25,SSE,10.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48000,-122174
A-2094599,1,2020-04-30 14:27:09,2020-04-30 15:02:07,48.00024000000001,-122.11266,0.0,Lake Stevens,Snohomish,WA,98258,US/Pacific,KAWO,2020-04-30 14:56:00,56.0,56.0,67.0,29.95,10.0,E,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,48000,-122112
A-2094600,1,2020-04-30 14:27:09,2020-04-30 15:02:07,48.00024000000001,-122.11266,0.0,Lake Stevens,Snohomish,WA,98258,US/Pacific,KAWO,2020-04-30 14:56:00,56.0,56.0,67.0,29.95,10.0,E,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,48000,-122112
A-368523,2,2021-08-25 01:39:00.000000000,2021-08-25 04:12:00.000000000,48.000351,-111.795405,3.409,Brady,Pondera,MT,59416,US/Mountain,KGTF,2021-08-25 01:53:00,47.0,44.0,74.0,26.35,10.0,NE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,48000,-111795
A-490992,2,2021-08-25 00:20:09,2021-08-25 04:14:57,48.000351,-111.795405,3.409,Brady,Pondera,MT,59416,US/Mountain,KGTF,2021-08-25 00:53:00,50.0,50.0,68.0,26.36,10.0,ENE,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,48000,-111795
A-1337795,2,2021-08-25 00:20:09,2021-08-25 02:29:57,48.000351,-111.795405,3.409,Brady,Pondera,MT,59416,US/Mountain,KGTF,2021-08-25 00:53:00,50.0,50.0,68.0,26.36,10.0,ENE,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,48000,-111795
A-1323168,2,2021-11-25 09:39:41,2021-11-25 10:54:41,48.000466,-103.978621,0.349,Williston,Williams,ND,58801-8674,US/Central,KISN,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48000,-103978
A-1767884,2,2020-12-12 19:18:13,2020-12-12 22:13:14,48.000839,-101.290673,0.532,Max,Ward,ND,58759,US/Central,KN60,2020-12-12 18:52:00,21.0,21.0,92.0,28.08,,NW,3.0,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48000,-101290
A-107506,2,2016-12-21 08:49:29,2016-12-21 14:49:29,48.001819,-122.420517,0.003,Langley,Island,WA,98260-9552,US/Pacific,KPAE,2016-12-21 08:53:00,37.0,31.6,93.0,30.46,10.0,East,6.9,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48001,-122420
A-128664,2,2016-08-31 14:59:11,2016-08-31 20:59:11,48.00107,-122.415,0.0,Langley,Island,WA,98260,US/Pacific,KPAE,2016-08-31 14:53:00,63.0,,84.0,29.99,10.0,South,12.7,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,48001,-122415
A-2710144,2,2018-01-29 07:01:03,2018-01-29 13:01:03,48.001031,-122.17418,0.0289999999999999,Everett,Snohomish,WA,98201,US/Pacific,KPAE,2018-01-29 06:53:00,48.9,,86.0,30.06,10.0,SE,16.1,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48001,-122174
A-1259841,2,2021-08-03 07:25:14,2021-08-03 18:02:15,48.001523,-114.300134,0.434,Lakeside,Flathead,MT,59922,US/Mountain,KGPI,2021-08-03 07:09:00,61.0,61.0,97.0,27.07,0.5,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48001,-114300
A-1613837,2,2021-02-26 17:47:54,2021-02-26 19:23:54,48.001847,-114.215557,0.0139999999999999,Lakeside,Flathead,MT,59922-9749,US/Mountain,KGPI,2021-02-26 17:55:00,33.0,24.0,78.0,26.58,9.0,SE,13.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48001,-114215
A-1958098,2,2020-11-12 17:34:08,2020-11-12 19:31:08,48.001169,-114.050207,0.048,Bigfork,Lake,MT,59911-8483,US/Mountain,KGPI,2020-11-12 17:55:00,29.0,20.0,72.0,26.86,10.0,SSE,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48001,-114050
A-230649,2,2021-12-05 04:47:34.000000000,2021-12-05 07:42:35.000000000,48.001472,-97.823683,0.327,Niagara,Grand Forks,ND,58266,US/Central,KRDR,2021-12-05 04:48:00,28.0,14.0,93.0,28.78,1.0,SE,23.0,0.0,Light Snow / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48001,-97823
A-619793,2,2021-12-05 04:47:34,2021-12-05 06:02:34,48.001472,-97.823683,0.327,Niagara,Grand Forks,ND,58266,US/Central,KRDR,2021-12-05 04:48:00,28.0,14.0,93.0,28.78,1.0,SE,23.0,0.0,Light Snow / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48001,-97823
A-2108188,2,2020-05-08 21:57:00,2020-05-08 23:32:31,48.00237,-122.10813,0.0,Lake Stevens,Snohomish,WA,98258-2533,US/Pacific,KAWO,2020-05-08 21:56:00,62.0,62.0,58.0,29.93,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,48002,-122108
A-125210,2,2016-08-05 12:06:32,2016-08-05 18:06:32,48.00285,-122.1063,0.486,Lake Stevens,Snohomish,WA,98258-7992,US/Pacific,KAWO,2016-08-05 12:15:00,73.4,,50.0,29.92,10.0,South,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,48002,-122106
A-134950,2,2016-07-28 11:29:20,2016-07-28 17:29:20,48.00285,-122.1063,0.294,Lake Stevens,Snohomish,WA,98258-7992,US/Pacific,KAWO,2016-07-28 11:35:00,75.2,,53.0,30.13,10.0,WNW,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,48002,-122106
A-2177865,1,2020-06-16 15:17:17,2020-06-16 15:52:15,48.00285,-122.1063,0.0,Lake Stevens,Snohomish,WA,98258-7992,US/Pacific,KAWO,2020-06-16 14:56:00,61.0,61.0,64.0,29.95,10.0,W,9.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,48002,-122106
A-2602403,4,2018-09-01 00:29:12,2018-09-01 00:58:39,48.00285,-122.1063,0.209,Lake Stevens,Snohomish,WA,98258-7992,US/Pacific,KAWO,2018-09-01 00:56:00,57.9,,72.0,30.14,10.0,North,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,48002,-122106
A-2716101,4,2017-12-09 01:40:07,2017-12-09 07:40:07,48.00285,-122.1063,0.297,Lake Stevens,Snohomish,WA,98258-7992,US/Pacific,KAWO,2017-12-09 01:38:00,24.8,,100.0,30.45,1.0,Calm,,,Mist,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,48002,-122106
A-214348,4,2017-07-03 17:05:32,2017-07-03 23:05:32,48.003897,-122.44143400000002,0.292,Langley,Island,WA,98260-9704,US/Pacific,KPAE,2017-07-03 16:53:00,66.0,,59.0,30.19,10.0,SW,6.9,,Clear,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,48003,-122441
A-2643128,4,2018-06-12 02:34:23,2018-06-12 08:34:23,48.003897,-122.44143400000002,1.238,Langley,Island,WA,98260-9704,US/Pacific,KPAE,2018-06-12 02:53:00,50.0,,77.0,30.2,10.0,NNE,3.5,,Clear,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,48003,-122441
A-214347,4,2017-07-03 17:05:32,2017-07-03 23:05:32,48.003846,-122.435122,0.292,Langley,Island,WA,98260-9504,US/Pacific,KPAE,2017-07-03 16:53:00,66.0,,59.0,30.19,10.0,SW,6.9,,Clear,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,48003,-122435
A-816096,2,2021-11-30 15:21:58,2021-11-30 16:39:09,48.00399,-114.216792,0.306,Lakeside,Flathead,MT,59922,US/Mountain,KGPI,2021-11-30 14:55:00,44.0,36.0,82.0,27.0,10.0,SE,17.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48003,-114216
A-952706,2,2021-08-02 07:14:30,2021-08-02 08:20:30,48.00399,-114.216792,1.788,Lakeside,Flathead,MT,59922,US/Mountain,KGPI,2021-08-02 07:08:00,67.0,67.0,97.0,27.08,0.5,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48003,-114216
A-1024912,2,2021-08-02 07:17:00,2021-08-02 08:33:00,48.00399,-114.216792,1.788,Lakeside,Flathead,MT,59922,US/Mountain,KGPI,2021-08-02 07:08:00,67.0,67.0,97.0,27.08,0.5,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48003,-114216
A-1108418,2,2021-09-04 18:46:00,2021-09-05 10:07:55,48.003466,-106.497307,0.15,Fort Peck,Valley,MT,59223,US/Mountain,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48003,-106497
A-132557,3,2016-07-06 12:43:05,2016-07-06 18:43:05,48.00429000000001,-122.46168,0.0,Langley,Island,WA,98260-8214,US/Pacific,KPAE,2016-07-06 12:53:00,66.0,,52.0,30.08,10.0,West,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,48004,-122461
A-533290,2,2021-04-02 22:16:09,2021-04-03 00:55:13,48.004194,-116.671684,0.369,Athol,Bonner,ID,83801,US/Pacific,KCOE,2021-04-02 21:56:00,47.0,44.0,50.0,27.59,10.0,S,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48004,-116671
A-692467,2,2021-11-19 08:48:06.000000000,2021-11-19 10:06:45.000000000,48.004638,-113.946,0.177,Bigfork,Lake,MT,59911-6805,US/Mountain,KGPI,2021-11-19 08:55:00,32.0,32.0,88.0,26.83,4.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48004,-113946
A-1019655,2,2021-09-22 13:53:06.000000000,2021-09-22 15:15:19.000000000,48.005653,-114.057358,0.083,Bigfork,Lake,MT,59911-7119,US/Mountain,KGPI,2021-09-22 13:55:00,69.0,69.0,42.0,26.95,10.0,SSE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48005,-114057
A-1356232,2,2021-09-22 13:53:06,2021-09-22 15:57:19,48.005635,-114.055569,0.109,Bigfork,Lake,MT,59911-8495,US/Mountain,KGPI,2021-09-22 13:55:00,69.0,69.0,42.0,26.95,10.0,SSE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48005,-114055
A-1038730,2,2021-09-19 02:56:42,2021-09-19 04:34:46,48.005889,-113.949943,0.366,Bigfork,Lake,MT,59911,US/Mountain,KGPI,2021-09-19 02:55:00,49.0,49.0,83.0,26.74,10.0,CALM,0.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48005,-113949
A-892817,2,2021-12-31 14:26:09.000000000,2021-12-31 15:44:07.000000000,48.005247,-113.947903,0.104,Bigfork,Lake,MT,59911,US/Mountain,KGPI,2021-12-31 14:55:00,11.0,-3.0,51.0,26.8,10.0,N,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48005,-113947
A-530508,2,2021-08-02 08:14:26,2021-08-02 10:34:38,48.005331,-97.979008,0.501,Petersburg,Nelson,ND,58272-9552,US/Central,KRDR,2021-08-02 07:56:00,65.0,65.0,79.0,29.16,5.0,W,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48005,-97979
A-774433,2,2021-07-08 15:58:05,2021-07-08 19:03:13,48.005568,-97.964872,0.16,Petersburg,Nelson,ND,58272-9552,US/Central,KRDR,2021-07-08 15:56:00,75.0,75.0,52.0,28.96,10.0,ESE,13.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48005,-97964
A-1884304,2,2020-12-29 23:29:52,2020-12-30 01:24:52,48.005247,-97.913545,0.157,Petersburg,Nelson,ND,58272-9553,US/Central,KRDR,2020-12-29 23:57:00,22.0,8.0,99.0,28.8,3.0,NW,16.0,0.03,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48005,-97913
A-529136,2,2021-11-12 07:12:32.000000000,2021-11-12 08:27:32.000000000,48.005378,-97.861263,0.079,Niagara,Grand Forks,ND,58266-9732,US/Central,KRDR,2021-11-12 07:06:00,25.0,8.0,93.0,28.94,0.88,N,31.0,0.0,Light Snow / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48005,-97861
A-12366,4,2016-12-06 08:53:52,2016-12-06 14:53:52,48.00539000000001,-97.859596,2.295,Niagara,Grand Forks,ND,58266-9700,US/Central,KRDR,2016-12-06 08:58:00,28.2,13.0,92.0,29.36,0.5,NNW,27.6,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48005,-97859
A-2708753,2,2018-01-25 09:01:01,2018-01-25 15:01:01,48.006469,-122.834141,0.768,Port Townsend,Jefferson,WA,98368,US/Pacific,KOKH,2018-01-25 08:56:00,43.0,35.0,74.0,29.62,10.0,SE,18.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48006,-122834
A-1813399,2,2020-12-02 21:10:00,2020-12-03 00:45:00,48.006657,-122.488201,0.128,Langley,Island,WA,98260,US/Pacific,KPAE,2020-12-02 20:53:00,49.0,46.0,39.0,29.55,10.0,SSE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48006,-122488
A-104975,2,2016-12-06 11:05:12,2016-12-06 17:05:12,48.006646,-122.485084,0.03,Langley,Island,WA,98260-9743,US/Pacific,KPAE,2016-12-06 10:53:00,34.0,28.8,82.0,30.18,10.0,NW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48006,-122485
A-1835514,2,2020-12-02 21:10:00.000000000,2020-12-03 00:45:00.000000000,48.00657800000001,-122.485433,0.128,Langley,Island,WA,98260-9780,US/Pacific,KPAE,2020-12-02 20:53:00,49.0,46.0,39.0,29.55,10.0,SSE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,48006,-122485
